acticity_id,practice_id,description,capability_lvl
261,"""APO06.03""","""Instruct process, service and program owners, as well as project and asset managers, to plan budgets.""",2
262,"""APO06.03""","""Review the budget plans and make decisions about budget allocations. Compile and adjust the budget based on changing enterprise needs and financial considerations.""",3
263,"""APO06.03""","""Record, maintain and communicate the current I&T budget, including committed expenditures and current expenditures, considering I&T projects recorded in the I&T-enabled investment portfolios and operation and maintenance of asset and service portfolios.""",3
264,"""APO06.03""","""Monitor the effectiveness of the different aspects of budgeting.""",4
265,"""APO06.03""","""Use the monitoring results to implement improvements and ensure that future budgets are more accurate, reliable and cost-effective.""",5
266,"""APO06.04""","""Decide on a cost allocation model that enables fair, transparent, repeatable and comparable allocation of I&T-related costs to users. A basic allocation model example is the even spread of shared I&T-related costs. This is a very simple allocation model that is easy to apply; however, depending on the context of the enterprise, it is often viewed as unfair and it does not encourage responsible use of resources. An activity-based costing scheme, in which costs are allocated to IT services and charged to users of these services, enables a more transparent and comparable allocation of cost.""",3
267,"""APO06.04""","""Inspect service definition catalogs to identify services subject to user chargeback and those that are shared services.""",3
268,"""APO06.04""","""Design the cost model to be transparent enough to allow users to identify their actual usage and charges by using categories and cost drivers that make sense for the user (e.g., cost per help desk call, cost per software license) and to better enable predictability of I&T costs and efficient and effective utilization of I&T resources. Analyze cost drivers (time spent per activity, expenses, portion of fixed vs. variable costs, etc.). Decide on appropriate differentiation (e.g., different categories of users with different weights) and use cost approximations or averages when actual costs are highly variable in nature.""",3
269,"""APO06.04""","""Explain the cost model principles and outcome to key stakeholders. Obtain their feedback for further fine-tuning toward a transparent and comprehensive model.""",3
270,"""APO06.04""","""Obtain approval of key stakeholders and communicate the I&T costing model to the management of user departments.""",3
271,"""APO06.04""","""Communicate important changes in the cost/chargeback model principles to key stakeholders and management of user departments.""",3
272,"""APO06.05""","""Obtain approval of key stakeholders and communicate the I&T costing model to the management of user departments.""",2
273,"""APO06.05""","""Establish time scales for the operation of the cost management process in line with budgeting and accounting requirements and timeline.""",2
274,"""APO06.05""","""Define a method for the collection of relevant data to identify deviations in budget vs. actuals, investment ROI, service cost trends, etc.""",2
275,"""APO06.05""","""Define how costs are consolidated for the appropriate levels in the enterprise (central IT vs. IT budget within business departments) and how they will be presented to the stakeholders. The reports provide information on costs per cost category, budget vs. actuals status, top spending, etc., to enable the timely identification of required corrective actions.""",3
276,"""APO06.05""","""Instruct those responsible for cost management to capture, collect and consolidate the data, and present and report the data to the appropriate budget owners. Budget analysts and owners jointly analyze deviations and compare performance to internal and industry benchmarks. They should establish and maintain the overheads allocation method. The result of the analysis provides an explanation of significant deviations and the suggested corrective actions.""",3
277,"""APO06.05""","""Ensure that the appropriate levels of management review the results of the analysis and approve suggested corrective actions.""",3
278,"""APO06.05""","""Ensure that changes in cost structures and enterprise needs are identified and budgets and forecasts are revised as required.""",4
279,"""APO06.05""","""At regular intervals, and especially when budgets are cut due to financial constraints, identify ways to optimize costs and introduce efficiencies without jeopardizing services.""",5
280,"""APO07.01""","""Evaluate staffing requirements on a regular basis or upon major changes. Ensure that both the enterprise and the IT function have sufficient resources to support enterprise goals and objectives, business processes and controls, and I&T-enabled initiatives adequately and appropriately.""",2
281,"""APO07.01""","""Maintain business and IT personnel recruitment and retention processes in line with the overall enterprise’s personnel policies and procedures.""",2
282,"""APO07.01""","""Establish flexible resource arrangements, such as the use of transfers, external contractors and third-party service arrangements, to support changing business needs.""",2
283,"""APO07.01""","""Include background checks in the IT recruitment process for employees, contractors and vendors. The extent and frequency of these checks should depend on the sensitivity and/or criticality of the function.""",3
284,"""APO07.02""","""As a security precaution, provide guidelines on a minimum time of annual vacation to be taken by key individuals.""",2
285,"""APO07.02""","""Take appropriate actions regarding job changes, especially job terminations.""",2
286,"""APO07.02""","""Use knowledge capture (documentation), knowledge sharing, succession planning, staff backup, cross-training and job rotation initiatives to minimize reliance on a single individual performing a critical job function.""",2
287,"""APO07.02""","""Regularly test staff backup plans.""",3
288,"""APO07.03""","""Identify currently available skills and competencies of internal and external resources.""",2
289,"""APO07.03""","""Identify gaps between required and available skills. Develop action plans, such as training (technical and behavioral skills), recruitment, redeployment and changed sourcing strategies, to address the gaps on an individual and collective basis.""",2
290,"""APO07.03""","""Review training materials and programs on a regular basis. Ensure adequacy with respect to changing enterprise requirements and their impact on necessary knowledge, skills and abilities.""",3
291,"""APO07.03""","""Provide access to knowledge repositories to support the development of skills and competencies.""",3
292,"""APO07.03""","""Develop and deliver training programs based on organizational and process requirements, including requirements for enterprise knowledge, internal control, ethical conduct, security and privacy.""",3
293,"""APO07.03""","""Conduct regular reviews to assess the evolution of the skills and competencies of the internal and external resources. Review succession planning.""",4
294,"""APO07.04""","""Consider functional/enterprise goals as the context for setting individual goals.""",2
295,"""APO07.04""","""Set individual goals aligned with the relevant I&T and enterprise goals. Base goals on specific, measurable, achievable, relevant and time-bound (SMART) objectives that reflect core competencies, enterprise values and skills required for the role(s).""",2
296,"""APO07.04""","""Provide timely feedback regarding performance against the individual’s goals.""",2
297,"""APO07.04""","""Provide specific instructions for the use and storage of personal information in the evaluation process, in compliance with applicable personal data and employment legislation.""",2
298,"""APO07.04""","""Compile 360-degree performance evaluation results.""",3
299,"""APO07.04""","""Provide formal career planning and professional development plans based on the results of the evaluation process to encourage competency development and opportunities for personal advancement and to reduce dependence on key individuals. Provide employee coaching on performance and conduct whenever appropriate.""",3
300,"""APO07.04""","""Implement a remuneration/recognition process that rewards appropriate commitment, competency development and successful attainment of performance goals. Ensure that the process is applied consistently and in line with organizational policies.""",3
301,"""APO07.04""","""Implement and communicate a disciplinary process.""",3
302,"""APO07.05""","""Create and maintain an inventory of business and IT human resources.""",2
303,"""APO07.05""","""Understand the current and future demand for human resources to support the achievement of I&T objectives and to deliver services and solutions based on the portfolio of current I&T-related initiatives, the future investment portfolio and day-to-day operational needs.""",3
304,"""APO07.05""","""Identify shortfalls and provide input into sourcing plans as well as enterprise and IT recruitment processes. Create and review the staffing plan, keeping track of actual usage.""",3
305,"""APO07.05""","""Maintain adequate information on the time spent on different tasks, assignments, services or projects.""",4
306,"""APO07.06""","""Implement contract staff policies and procedures.""",2
307,"""APO07.06""","""At the commencement of the contract, obtain formal agreement from contractors that they are required to comply with the enterprise’s I&T control framework, such as policies for security clearance, physical and logical access control, use of facilities, information confidentiality requirements, and nondisclosure agreements.""",2
308,"""APO07.06""","""Advise contractors that management reserves the right to monitor and inspect all usage of IT resources, including email, voice communications, and all programs and data files.""",2
309,"""APO07.06""","""As part of their contracts, provide contractors with a clear definition of their roles and responsibilities, including explicit requirements to document their work to agreed standards and formats.""",2
310,"""APO07.06""","""Review contractors’ work and base the approval of payments on the results.""",2
311,"""APO07.06""","""In formal and unambiguous contracts, define all work performed by external parties.""",3
312,"""APO07.06""","""Conduct periodic reviews to ensure that contract staff have signed and agreed on all necessary agreements.""",4
313,"""APO07.06""","""Conduct periodic reviews to ensure that contractors’ roles and access rights are appropriate and in line with agreements.""",4
314,"""APO08.01""","""Identify business stakeholders, their interests and their areas of responsibilities.""",2
315,"""APO08.01""","""Review current enterprise direction, issues, strategic objectives, and alignment with enterprise architecture.""",2
316,"""APO08.01""","""Understand the current business environment, process constraints or issues, geographical expansion or contraction, and industry/regulatory drivers.""",2
317,"""APO08.01""","""Maintain an awareness of business processes and associated activities. Understand demand patterns that relate to service volumes and use.""",2
318,"""APO08.01""","""Manage expectations by ensuring that business units understand priorities, dependencies, financial constraints and the need to schedule requests.""",3
319,"""APO08.01""","""Clarify business expectations for I&T-enabled services and solutions. Ensure that requirements are defined with associated business acceptance criteria and metrics.""",4
320,"""APO08.01""","""Confirm that there is agreement between IT and all business departments on expectations and how they will be measured. Ensure that this agreement is confirmed by all stakeholders.""",4
321,"""APO08.02""","""Position IT as a partner to the business. Play a proactive role in identifying and communicating with key stakeholders on opportunities, risk and constraints. This includes current and emerging technologies, services and business process models.""",3
322,"""APO08.02""","""Collaborate on major new initiatives with portfolio, program and project management. Ensure the involvement of the IT organization from the start of a new initiative by providing value-add advice and recommendations (e.g., for business case development, requirements definition, solution design) and by taking ownership for I&T work streams.""",3
323,"""APO08.03""","""Assign a relationship manager as a single point of contact for each significant business unit. Ensure that a single counterpart is identified in the business organization and the counterpart has business understanding, sufficient technology awareness and the appropriate level of authority.""",3
324,"""APO08.03""","""Manage the relationship in a formalized and transparent way that ensures a focus on achieving a common and shared goal of successful enterprise outcomes in support of strategic goals and within the constraint of budgets and risk tolerance.""",3
325,"""APO08.03""","""Define and communicate a complaints and escalation procedure to resolve any relationship issues.""",3
326,"""APO08.03""","""Ensure that key decisions are agreed and approved by relevant accountable stakeholders.""",3
327,"""APO08.03""","""Plan specific interactions and schedules based on mutually agreed objectives and common language (service and performance review meetings, review of new strategies or plans, etc.).""",4
328,"""APO08.04""","""Coordinate and communicate changes and transition activities such as project or change plans, schedules, release policies, release known errors, and training awareness.""",2
329,"""APO08.04""","""Coordinate and communicate operational activities, roles and responsibilities, including the definition of request types, hierarchical escalation, major outages (planned and unplanned), and content and frequency of service reports.""",2
330,"""APO08.04""","""Take ownership of the response to the business for major events that may influence the relationship with the business. Provide direct support if required.""",2
331,"""APO08.04""","""Maintain an end-to-end communication plan that defines the content, frequency and recipients of service delivery information, including status of value delivered and any risk identified.""",3
332,"""APO08.05""","""Perform customer and provider satisfaction analysis. Ensure that issues are addressed; report results and status.""",4
333,"""APO08.05""","""Work together to identify, communicate and implement improvement initiatives.""",5
334,"""APO08.05""","""Work with service management and process owners to ensure that I&T-enabled services and service management processes are continually improved and the root causes of any issues are identified and resolved.""",5
335,"""APO09.01""","""Assess current I&T services and service levels to identify gaps between existing services and the business activities they support. Identify areas for improvement of existing services and service level options.""",2
336,"""APO09.01""","""Analyze, study and estimate future demand and confirm capacity of existing I&T-enabled services.""",2
337,"""APO09.01""","""Analyze business process activities to identify the need for new or redesigned I&T services.""",3
338,"""APO09.01""","""Compare identified requirements to existing service components in the portfolio. If possible, package existing service components (I&T services, service level options and service packages) into new service packages to meet identified business requirements.""",3
339,"""APO09.01""","""Regularly review the portfolio of I&T services with portfolio management and business relationship management to identify obsolete services. Agree on retirement and propose change.""",3
340,"""APO09.01""","""Where possible, match demands to service packages and create standardized services to obtain overall efficiencies.""",4
341,"""APO09.02""","""Publish in catalogues relevant live I&T-enabled services, service packages and service level options from the portfolio.""",2
342,"""APO09.02""","""Continually ensure that the service components in the portfolio and the related service catalogues are complete and up to date.""",3
343,"""APO09.02""","""Inform business relationship management of any updates to the service catalogues.""",3
344,"""APO09.03""","""Analyze requirements for new or changed service agreements received from business relationship management to ensure that the requirements can be matched. Consider aspects such as service times, availability, performance, capacity, security, privacy, continuity, compliance and regulatory issues, usability, demand constraints, and data quality.""",2
345,"""APO09.03""","""Draft customer service agreements based on the services, service packages and service level options in the relevant service catalogues.""",2
346,"""APO09.03""","""Finalize customer service agreements with business relationship management.""",2
347,"""APO09.03""","""Determine, agree on and document internal operational agreements to underpin the customer service agreements, if applicable.""",3
348,"""APO09.03""","""Liaise with supplier management to ensure that appropriate commercial contracts with external service providers underpin the customer service agreements, if applicable.""",3
349,"""APO09.04""","""Establish and maintain measures to monitor and collect service level data.""",4
350,"""APO09.04""","""Evaluate performance and provide regular and formal reporting of service agreement performance, including deviations from the agreed values. Distribute this report to business relationship management.""",4
351,"""APO09.04""","""Perform regular reviews to forecast and identify trends in service level performance. Incorporate quality management practices in the service monitoring.""",4
352,"""APO09.04""","""Provide the appropriate management information to aid performance management.""",4
353,"""APO09.04""","""Agree on action plans and remediations for any performance issues or negative trends.""",4
354,"""APO09.05""","""Regularly review service agreements according to the agreed terms to ensure that they are effective and up to date. When appropriate, take into account changes in requirements, I&T-enabled services, service packages or service level options.""",3
355,"""APO09.05""","""When needed, revise the existing service agreement with the service provider. Agree on and update the internal operational agreements.""",4
356,"""APO10.02""","""Review all requests for information (RFIs) and requests for proposals (RFPs) to ensure that they clearly define requirements (e.g., enterprise requirements for security and privacy of information, operational business and I&T processing requirements, priorities for service delivery) and include a procedure to clarify requirements. The RFIs and RFPs should allow vendors sufficient time to prepare their proposals and should clearly define award criteria and the decision process.""",2
357,"""APO10.02""","""Evaluate RFIs and RFPs in accordance with the approved evaluation process/criteria and maintain documentary evidence of the evaluations. Verify the references of candidate vendors.""",2
358,"""APO10.02""","""Select the vendor that best fits the RFP. Document and communicate the decision, and sign the contract.""",2
359,"""APO10.01""","""Continuously scan the enterprise landscape in search for new partners and vendors that can provide complementary capabilities and support the realization of the I&T strategy, road map and enterprise objectives.""",3
360,"""APO10.01""","""Establish and maintain criteria relating to type, significance and criticality of vendors and vendor contracts, enabling a focus on preferred and important vendors.""",3
361,"""APO10.01""","""Identify, record and categorize existing vendors and contracts according to defined criteria to maintain a detailed register of preferred vendors that need to be managed carefully.""",3
362,"""APO10.02""","""In the specific case of software acquisition, include and enforce the rights and obligations of all parties in the contractual terms. These rights and obligations may include ownership and licensing of IP; maintenance; warranties; arbitration procedures; upgrade terms; and fit for purpose, including security, privacy, escrow and access rights.""",3
363,"""APO10.02""","""In the specific case of acquisition of development resources, include and enforce the rights and obligations of all parties in the contractual terms. These rights and obligations may include ownership and licensing of IP; fit for purpose, including development methodologies; testing; quality management processes, including required performance criteria; performance reviews; basis for payment; warranties; arbitration procedures; human resource management; and compliance with the enterprise’s policies.""",3
364,"""APO10.02""","""Obtain legal advice on resource development acquisition agreements regarding ownership and licensing of IP""",3
365,"""APO10.02""","""In the specific case of acquisition of infrastructure, facilities and related services, include and enforce the rights and obligations of all parties in the contractual terms. These rights and obligations may include service levels, maintenance procedures, access controls, security, privacy, performance review, basis for payment and arbitration procedures.""",3
366,"""APO10.03""","""Assign relationship owners for all vendors and make them accountable for the quality of service(s) provided.""",3
367,"""APO10.03""","""Specify a formal communication and review process, including vendor interactions and schedules.""",3
368,"""APO10.03""","""Agree on, manage, maintain and renew formal contracts with the vendor. Ensure that contracts conform to enterprise standards and legal and regulatory requirements.""",3
369,"""APO10.03""","""Include provisions in contracts with key service vendors for review of the vendor site and internal practices and controls by management or independent third parties. Agree on independent audit and assurance controls of the operational environments of vendors providing outsourced services to confirm that agreed requirements are being adequately addressed.""",3
370,"""APO10.03""","""Use established procedures to deal with contract disputes. Whenever possible, first use effective relationships and communications to overcome service problems.""",3
371,"""APO10.03""","""Define and formalize roles and responsibilities for each service vendor. Where several vendors combine to provide service, consider allocating a lead contractor role to one of the vendors to take responsibility for an overall contract.""",3
372,"""APO10.04""","""When preparing the contract, provide for potential service risk by clearly defining service requirements, including software escrow agreements, alternative vendors or standby agreements to mitigate possible vendor failure; security and protection of IP; privacy; and any legal or regulatory requirements.""",3
373,"""APO10.05""","""Request independent reviews of vendor internal practices and controls, if necessary.""",3
374,"""APO10.01""","""Establish and maintain vendor and contract evaluation criteria to enable overall review and comparison of vendor performance in a consistent way.""",4
375,"""APO10.03""","""Evaluate the effectiveness of the relationship and identify necessary improvements.""",4
376,"""APO10.04""","""Identify, monitor and, where appropriate, manage risk relating to the vendor’s ability to deliver service efficiently, effectively, securely, confidentially, reliably and continually. Integrate critical internal IT management processes with those of the outsourced service providers, covering, for example, performance and capacity planning, change management, and configuration management.""",4
377,"""APO10.04""","""Assess the larger ecosystem of the vendor and identify, monitor, and, where appropriate, manage risk related to the subcontractors and upstream vendors influencing the vendor’s ability to deliver service efficiently, effectively, securely, reliably and continually""",4
378,"""APO10.05""","""Define and document criteria to monitor vendor performance aligned with service level agreements. Ensure that the vendor regularly and transparently reports on agreed criteria.""",4
379,"""APO10.05""","""Monitor and review service delivery to ensure that the vendor is providing an acceptable quality of service, meeting requirements and adhering to contract conditions.""",4
380,"""APO10.05""","""Review vendor performance and value for money. Ensure that the vendor is reliable and competitive, compared with alternative vendors and market conditions.""",4
381,"""APO10.05""","""Monitor and evaluate externally available information about the vendor and the vendor’s supply chain.""",4
382,"""APO10.01""","""Periodically evaluate and compare the performance of existing and alternative vendors to identify opportunities or a compelling need to reconsider current vendor contracts.""",5
383,"""APO10.03""","""Define, communicate and agree on ways to implement required improvements to the relationship.""",5
384,"""APO10.05""","""Record and assess review results periodically and discuss them with the vendor to identify needs and opportunities for improvement.""",5
385,"""APO11.03""","""Define the quality management standards, practices and procedures in line with the I&T control framework’s requirements and enterprise quality management criteria and policies.""",2
386,"""APO11.05""","""Establish a platform to share good practices and capture information on defects and mistakes to enable learning from them.""",2
387,"""APO11.01""","""Ensure that the I&T control framework and the business and IT processes include a standard, formal and continuous approach to quality management that is aligned with enterprise requirements. Within the I&T control framework and the business and IT processes, identify quality requirements and criteria (e.g., based on legal requirements and requirements from customers).""",3
388,"""APO11.01""","""Define roles, tasks, decision rights and responsibilities for quality management in the organizational structure.""",3
389,"""APO11.01""","""Obtain input from management and external and internal stakeholders on the definition of quality requirements and quality management criteria""",3
390,"""APO11.02""","""Focus quality management on customers by determining internal and external customer requirements and ensuring alignment of the I&T standards and practices. Define and communicate roles and responsibilities concerning conflict resolution between the user/customer and the IT organization.""",3
391,"""APO11.02""","""Manage the business needs and expectations for each business process, IT operational service and new solutions. Maintain their quality acceptance criteria.""",3
392,"""APO11.02""","""Communicate customer requirements and expectations throughout the business and IT organization.""",3
393,"""APO11.03""","""Integrate the required quality management practices in key processes and solutions across the organization.""",3
394,"""APO11.03""","""Consider the benefits and costs of quality certifications.""",3
395,"""APO11.03""","""Effectively communicate the quality management approach (e.g., through regular, formal quality training programs).""",3
396,"""APO11.04""","""Prepare and conduct quality reviews for key organizational processes and solutions.""",3
397,"""APO11.05""","""Identify examples of excellent quality delivery processes that can benefit other services or projects. Share these with the service and project delivery teams to encourage improvement.""",3
398,"""APO11.05""","""Identify recurring examples of quality defects. Determine their root cause, evaluate their impact and result, and agree on improvement actions with the service and/or project delivery teams.""",3
399,"""APO11.05""","""Provide employees with training in the methods and tools of continual improvement.""",3
400,"""APO11.01""","""Regularly monitor and review the QMS against agreed acceptance criteria. Include feedback from customers, users and management.""",4
401,"""APO11.02""","""Periodically obtain customer views on business process and service provisioning and IT solution delivery. Determine the impact on I&T standards and practices and ensure that customer expectations are met and actioned.""",4
402,"""APO11.02""","""Capture quality acceptance criteria for inclusion in SLAs.""",4
403,"""APO11.03""","""Record and monitor quality data. Use industry good practices for reference when improving and tailoring the enterprise’s quality practices.""",4
404,"""APO11.03""","""Regularly review the continued relevance, efficiency and effectiveness of specific quality management processes. Monitor the achievement of quality objectives.""",4
405,"""APO11.04""","""For these key organizational processes and solutions, monitor goal-driven quality metrics aligned to overall quality objectives.""",4
406,"""APO11.04""","""Ensure that management and process owners regularly review quality management performance against defined quality metrics.""",4
407,"""APO11.04""","""Analyze overall quality management performance results.""",4
408,"""APO11.05""","""Benchmark the results of the quality reviews against internal historical data, industry guidelines, standards and data from similar types of enterprises.""",4
409,"""APO11.01""","""Respond to discrepancies in review results to continuously improve the QMS.""",5
410,"""APO11.04""","""Report the quality management performance review results and initiate improvements where appropriate.""",5
411,"""APO12.01""","""Establish and maintain a method for the collection, classification and analysis of I&T risk-related data.""",2
412,"""APO12.01""","""Record relevant and significant I&T risk-related data on the enterprise’s internal and external operating environment.""",2
413,"""APO12.03""","""Inventory business processes and document their dependency on I&T service management processes and IT infrastructure resources. Identify supporting personnel, applications, infrastructure, facilities, critical manual records, vendors, suppliers and outsourcers.""",2
414,"""APO12.03""","""Determine and agree on which I&T services and IT infrastructure resources are essential to sustain the operation of business processes. Analyze dependencies and identify weak links.""",2
415,"""APO12.03""","""Aggregate current risk scenarios by category, business line and functional area.""",2
416,"""APO12.05""","""Maintain an inventory of control activities that are in place to mitigate risk and that enable risk to be taken in line with the risk appetite and tolerance. Classify control activities and map them to specific I&T risk scenarios and aggregations of I&T risk scenarios.""",2
417,"""APO12.01""","""Adopt or define a risk taxonomy for consistent definitions of risk scenarios and impact and likelihood categories.""",3
418,"""APO12.01""","""Record data on risk events that have caused or may cause business impacts as per the impact categories defined in the risk taxonomy. Capture relevant data from related issues, incidents, problems and investigations.""",3
419,"""APO12.02""","""Define the appropriate scope of risk analysis efforts, considering all risk factors and/or the business criticality of assets.""",3
420,"""APO12.02""","""Build and regularly update I&T risk scenarios; I&T-related loss exposures; and scenarios regarding reputational risk, including compound scenarios of cascading and/or coincidental threat types and events. Develop expectations for specific control activities and capabilities to detect.""",3
421,"""APO12.02""","""Estimate the frequency (or likelihood) and magnitude of loss or gain associated with I&T risk scenarios. Take into account all applicable risk factors and evaluate known operational controls.""",3
422,"""APO12.02""","""Compare current risk (I&T-related loss exposure) to risk appetite and acceptable risk tolerance. Identify unacceptable or elevated risk.""",3
423,"""APO12.02""","""Propose risk responses for risk exceeding risk appetite and tolerance levels.""",3
424,"""APO12.02""","""Specify high-level requirements for projects or programs that will implement the selected risk responses. Identify requirements and expectations for appropriate key controls for risk mitigation responses.""",3
425,"""APO12.03""","""Regularly capture all risk profile information and consolidate it into an aggregated risk profile.""",3
426,"""APO12.03""","""Capture information on the status of the risk action plan for inclusion in the I&T risk profile of the enterprise.""",3
427,"""APO12.04""","""Report the results of risk analysis to all affected stakeholders in terms and formats useful to support enterprise decisions. Whenever possible, include probabilities and ranges of loss or gain along with confidence levels, to enable management to balance risk-return.""",3
428,"""APO12.04""","""Provide decision makers with an understanding of worst-case and most-probable scenarios, I&T-related loss exposures and significant reputation, legal and regulatory considerations, or any other impact category as per the risk taxonomy.""",3
429,"""APO12.04""","""Report the current risk profile to all stakeholders. Include information on the effectiveness of the risk management process, control effectiveness, gaps, inconsistencies, redundancies, remediation status and their impacts on the risk profile.""",3
430,"""APO12.04""","""On a periodic basis, for areas with relative risk and risk capacity parity, identify I&T-related opportunities that would allow the acceptance of greater risk and enhanced growth and return.""",3
431,"""APO12.05""","""Determine whether each organizational entity monitors risk and accepts accountability for operating within its individual and portfolio tolerance levels.""",3
432,"""APO12.05""","""Define a balanced set of project proposals designed to reduce risk and/or projects that enable strategic enterprise opportunities, considering costs, benefits, effect on current risk profile and regulations.""",3
433,"""APO12.06""","""Prepare, maintain and test plans that document the specific steps to take when a risk event may cause a significant operational or development incident with serious business impact. Ensure that plans include pathways of escalation across the enterprise.""",3
434,"""APO12.06""","""Apply the appropriate response plan to minimize the impact when risk incidents occur.""",3
435,"""APO12.01""","""Survey and analyze the historical I&T risk data and loss experience from externally available data and trends, industry peers through industry-based event logs, databases, and industry agreements for common event disclosure.""",4
436,"""APO12.01""","""For similar classes of events, organize the collected data and highlight contributing factors. Determine common contributing factors across multiple events.""",4
437,"""APO12.01""","""Determine the specific conditions that existed or were absent when risk events occurred and the way the conditions affected event frequency and loss magnitude.""",4
438,"""APO12.01""","""Perform periodic event and risk factor analysis to identify new or emerging risk issues and to gain an understanding of the associated internal and external risk factors.""",4
439,"""APO12.02""","""Validate the risk analysis and business impact analysis (BIA) results before using them in decision making. Confirm that the analysis aligns with enterprise requirements and verify that estimations were properly calibrated and scrutinized for bias.""",4
440,"""APO12.03""","""Based on all risk profile data, define a set of risk indicators that allow the quick identification and monitoring of current risk and risk trends.""",4
441,"""APO12.03""","""Capture information on I&T risk events that have materialized for inclusion in the IT risk profile of the enterprise.""",4
442,"""APO12.04""","""Review the results of objective third-party assessments and internal audit and quality assurance reviews. Include them in the risk profile. Review identified gaps and I&T-related loss exposures to determine the need for additional risk analysis.""",4
443,"""APO12.06""","""Categorize incidents and compare I&T-related loss exposures against risk tolerance thresholds. Communicate business impacts to decision makers as part of reporting and update the risk profile.""",4
444,"""APO12.06""","""Examine past adverse events/losses and missed opportunities and determine root causes.""",4
445,"""APO12.02""","""Analyze cost/benefit of potential risk response options such as avoid, reduce/mitigate, transfer/share, and accept and exploit/seize. Confirm the optimal risk response.""",5
446,"""APO12.06""","""Communicate root cause, additional risk response requirements and process improvements to appropriate decision makers. Ensure that the cause, response requirements and process improvement are included in risk governance processes.""",5
447,"""APO13.01""","""Define the scope and boundaries of the information security management system (ISMS) in terms of the characteristics of the enterprise, the organization, its location, assets and technology. Include details of, and justification for, any exclusions from the scope.""",2
448,"""APO13.01""","""Define an ISMS in accordance with enterprise policy and the context in which the enterprise operates.""",2
449,"""APO13.01""","""Align the ISMS with the overall enterprise approach to the management of security.""",2
450,"""APO13.01""","""Obtain management authorization to implement and operate or change the ISMS.""",2
451,"""APO13.01""","""Prepare and maintain a statement of applicability that describes the scope of the ISMS.""",2
452,"""APO13.01""","""Define and communicate Information security management roles and responsibilities.""",2
453,"""APO13.01""","""Communicate the ISMS approach.""",2
454,"""APO13.02""","""Formulate and maintain an information security risk treatment plan aligned with strategic objectives and the enterprise architecture. Ensure that the plan identifies the appropriate and optimal management practices and security solutions, with associated resources, responsibilities and priorities for managing identified information security risk.""",3
455,"""APO13.02""","""Maintain as part of the enterprise architecture an inventory of solution components that are in place to manage securityrelated risk.""",3
456,"""APO13.02""","""Develop proposals to implement the information security risk treatment plan, supported by suitable business cases that include consideration of funding and allocation of roles and responsibilities.""",3
457,"""APO13.02""","""Provide input to the design and development of management practices and solutions selected from the information security risk treatment plan.""",3
458,"""APO13.02""","""Implement information security and privacy training and awareness programs.""",3
459,"""APO13.02""","""Integrate the planning, design, implementation and monitoring of information security and privacy procedures and other controls capable of enabling prompt prevention, detection of security events, and response to security incidents.""",3
460,"""APO13.02""","""Define how to measure the effectiveness of the selected management practices. Specify how these measurements are to be used to assess effectiveness to produce comparable and reproducible results.""",4
461,"""APO13.03""","""Undertake regular reviews of the effectiveness of the ISMS. Include meeting ISMS policy and objectives and reviewing security and privacy practices.""",4
462,"""APO13.03""","""Conduct ISMS audits at planned intervals.""",4
463,"""APO13.03""","""Undertake a management review of the ISMS on a regular basis to ensure that the scope remains adequate and improvements in the ISMS process are identified.""",4
464,"""APO13.03""","""Record actions and events that could have an impact on the effectiveness or performance of the ISMS.""",4
465,"""APO13.03""","""Provide input to the maintenance of the security plans to take into account the findings of monitoring and reviewing activities.""",5
466,"""APO14.01""","""Establish a data management function with responsibility for managing activities that support data management objectives.""",2
467,"""APO14.01""","""Specify roles and responsibilities to support the management of data and the interaction between governance and the data management function.""",2
468,"""APO14.02""","""Ensure that standard business terms are readily available and communicated to relevant stakeholders.""",2
469,"""APO14.02""","""Ensure that each business term added to the business glossary has a unique name and unique definition.""",2
470,"""APO14.02""","""Use standard industry business terms and definitions, as appropriate, in the business glossary.""",2
471,"""APO14.03""","""Establish and follow a metadata management process.""",2
472,"""APO14.03""","""Ensure that metadata documentation captures data interdependencies.""",2
473,"""APO14.03""","""Establish and follow metadata categories, properties and standards.""",2
474,"""APO14.07""","""Establish and maintain a data cleansing policy.""",2
475,"""APO14.08""","""Map and align the requirements of data consumers and producers.""",2
476,"""APO14.09""","""Ensure that policies mandate management of data history, including retention, destruction and audit trail requirements.""",2
477,"""APO14.09""","""Ensure the existence of a defined method that guarantees accessibility to the historical data necessary to support business needs.""",2
478,"""APO14.09""","""Use policy and processes to control access, transmittal and modifications to historical and archived data.""",2
479,"""APO14.10""","""Define a schedule to ensure correct backup of all critical data.""",2
480,"""APO14.10""","""Define requirements for on-site and off-site storage of backup data, taking into account volume, capacity and retention period, in alignment with the business requirements.""",2
481,"""APO14.10""","""Establish a testing schedule for backup data. Ensure that the data can be restored correctly without drastically impacting business""",2
482,"""APO14.01""","""Ensure that business and technology collaboratively develop the organization’s data management strategy. Make sure that data management objectives, priorities and scope reflect enterprise objectives, are consistent with data management policies and regulation, and are approved by all stakeholders.""",3
483,"""APO14.01""","""Communicate data management objectives, priorities and scope and adjust them as needed, based upon feedback.""",3
484,"""APO14.02""","""Establish, document and follow a process to define, manage, use and maintain the business glossary. For example, new initiatives should apply standard business terms as part of the data requirements definition process to ensure consistency of language. This will help achieve comparability of the content and facilitate data sharing across the organization.""",3
