guidance_id,guidance,reference
276,"""The CIS Critical Security Controls for Effective Cyber Defense Version 6.1, August 2016""","""CSC 9: Limitation and Control of Network Ports, Protocols, and Services;
CSC 11: Secure Configurations for Network Devices such as Firewalls, Routers, and Switches"""
277,"""CMMI Cybermaturity Platform, 2018""","""IP.MM Apply Mobile Device Management; TP.MP Apply Media Protection; DP.DP Detect Mobile Code and Browser Protection"""
278,"""ISF, The Standard of Good Practice for Information Security 2016""","""PM1.3 Remote Working; PA2.1 Mobile Device Configuration; PA2.4 Employee-owned Devices; PA2.5 Portable Storage Devices; NC1.6 Remote Maintenance"""
279,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.4 Assessment, authorization and monitoring (CA-8, CA-9); 3.19 System and communications protection (SC-10)"""
280,"""The CIS Critical Security Controls for Effective Cyber Defense Version 6.1, August 2016""","""CSC 3: Secure Configurations for Hardware and Software on Mobile Devices, Laptops, Workstations, and Servers; CSC 7: Email and Web Browser Protections"""
281,"""HITRUST CSF version 9, September 2017""","""10.03 Cryptographic Controls"""
282,"""ISF, The Standard of Good Practice for Information Security 2016""","""PM1.1 Employment Life Cycle; SA1 Access Management"""
283,"""ISO/IEC 27002:2013/Cor.2:2015(E)""","""7.3 Termination and change of employment; 9. Access control"""
284,"""ITIL V3, 2011""","""Service Operation, 4.5 Access Management"""
285,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.1 Access control (AC-11, AC-12); 3.11 Media protection (MP-2, MP-4, MP-7); 3.13 Physical and environmental protection (PE-2, PE-3, PE-6)"""
286,"""The CIS Critical Security Controls for Effective Cyber Defense Version 6.1, August 2016""","""CSC 1: Inventory of Authorized and Unauthorized Devices; CSC 2: Inventory of Authorized and Unauthorized Software; CSC 5: Controlled Use of Administrative Privileges; CSC 16: Account Monitoring and Control"""
287,"""CMMI Cybermaturity Platform, 2018""","""AC.MA Manage Access; ID.DI Determine Impacts"""
288,"""HITRUST CSF version 9, September 2017""","""01.01 Business Requirement for Access Control; 01.02 Authorized Access to Information Systems; 02.0 Human Resources Security"""
289,"""ISF, The Standard of Good Practice for Information Security 2016""","""NC1.2 Physical Network Management"""
290,"""ISO/IEC 27002:2013/Cor.2:2015(E)""","""11. Physical and environmental security"""
291,"""CMMI Cybermaturity Platform, 2018""","""CM.Ph Monitor Physical"""
292,"""HITRUST CSF version 9, September 2017""","""01.06 Application & Information Access Control; 01.07 Mobile Computing & Teleworking; 08.0 Physical & Environmental Security; 10.03 Cryptographic Controls; 10.04 Security of System Files"""
293,"""ISF, The Standard of Good Practice for Information Security 2016""","""IR2.3 Business Impact Assessment - Confidentiality Requirements; IR2.4 Business Impact Assessment - Integrity Requirements; IR2.5 Business Impact Assessment - Availability Requirements; IM2.2 Sensitive Physical Information; PA2.2 Enterprise Mobility Management"""
294,"""ISO/IEC 27002:2013/Cor.2:2015(E)""","""10. Cryptography"""
295,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.1 Access control (AC-2, AC-3, AC-4, AC-5, AC-6, AC-13, AC-24); 3.7 Identification and authentication (IA-2, IA-10, IA-11)"""
296,"""The CIS Critical Security Controls for Effective Cyber Defense Version 6.1, August 2016""","""CSC 15: Wireless Access Control"""
297,"""ISF, The Standard of Good Practice for Information Security 2016""","""IR2.6 Threat Profiling"""
298,"""National Institute of Standards and Technology Special Publication800-53, Revision 5 (Draft), August 2017""","""3.7 Identification and authentication (IA-3); 3.11 Media protection (MP-1); 3.13 Physical and environmental protection (PE-5); 3.19 System and communications protection (SC-15)"""
299,"""The CIS Critical Security Controls for Effective Cyber Defense Version 6.1, August 2016""","""Maintenance, Monitoring, and Analysis of Audit Logs"""
300,"""National Institute of Standards and Technology Special Publication 800-37, Revision 2 (Draft), May 2018""","""3.1 Preparation (Task 10, 11)"""
301,"""The CIS Critical Security Controls for Effective Cyber Defense Version 6.1, August 2016""","""CSC 14: Controlled Access Based on the Need to Know"""
302,"""HITRUST CSF version 9, September 2017""","""13.01 Openness and Transparency; 13.02 Individual Choice and Participation"""
303,"""ISF, The Standard of Good Practice for Information Security 2016""","""BA1.4 Information Validation"""
304,"""HITRUST CSF version 9, September 2017""","""13.04 Collection, Use and Disclosure"""
305,"""ISO/IEC 27002:2013/Cor.2:2015(E)""","""7. Human resource security"""
306,"""The CIS Critical Security Controls for Effective Cyber Defense Version 6.1, August 2016""","""CSC 5: Controlled Use of Administrative Privileges"""
307,"""CMMI Cybermaturity Platform, 2018""","""AC.MP Manage Access Permissions"""
308,"""The CIS Critical Security Controls for Effective Cyber Defense Version 6.1, August 2016""","""CSC 18: Application Software Security"""
309,"""CMMI Data Management Maturity Model, 2014""","""Supporting Processes - Measurement and Analysis"""
310,"""SF, The Standard of Good Practice for Information Security 2016""","""SI2 Security Performance"""
311,"""ISO/IEC 27001:2013/Cor.2:2015(E)""","""9.1 Monitoring, measurement, analysis and evaluation"""
312,"""ISO/IEC 27004:2016(E)""","""6. Characteristics; 7. Types of measures; 8. Processes"""
313,"""ISO/IEC 38500:2015(E)""","""5.5 Principle 4: Performance; 5.6 Principle 5: Conformance"""
314,"""National Institute of Standards and Technology Special Publication 800-37, Revision 2 (Draft), May 2018""","""3.1 Preparation (Task 13); 3.3 Selection (Task 2); 3.7 Monitoring (Task 1)"""
315,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.4 Assessment, authorization and monitoring (CA-2, CA-7); 3.20 System and information integrity (SI-4)"""
316,"""CMMI Data Management Maturity Model, 2014""","""Supporting Processes - Process Management"""
317,"""National Institute of Standards and Technology Special Publication 800-53, Revisionv5 (Draft), August 2017""","""3.4 Assessment, authorization and monitoring (CA-5)"""
318,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.20 System and information integrity (SI-2)"""
319,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.3 Audit and accountability (AU-6)"""
320,"""National Institute of Standards and Technology Special Publication 800-37, Revision 2 (Draft), May 2018""","""3.7 Monitoring (Task 3)"""
321,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.3 Audit and accountability (AU-5)"""
322,"""HITRUST CSF version 9, September 2017""","""09.10 Monitoring"""
323,"""ISO/IEC 38502:2017(E)""","""5.5 Governance and internal control"""
324,"""National Institute of Standards and Technology Special Publication 800-53, Revision 5 (Draft), August 2017""","""3.3 Audit and accountability (AU-2)"""
325,"""ISO/IEC 27001:2013/Cor.2:2015(E)""","""9.3 Management review"""
326,"""National Institute of Standards and Technology Special Publication 800-37, Revision 2 (Draft), May 2018""","""3.7 Monitoring (Task 2)"""
327,"""CMMI Cybermaturity Platform, 2018""","""BC.RR Determine Legal / Regulatory Requirements"""
328,"""HITRUST CSF version 9, September 2017""","""06.01 Compliance with Legal Requirements"""
329,"""ISF, The Standard of Good Practice for Information Security 2016""","""SM2.3 Legal and Regulatory Compliance"""
330,"""King IV Report on Corporate Governance for South Africa, 2016""","""Part 5.4: Governance functional areas - Principle 13"""
331,"""CMMI Data Management Maturity Model, 2014""","""Supporting Processes - Process Quality Assurance"""
332,"""ISO/IEC 27002:2013/Cor.2:2015(E)""","""18. Compliance"""
333,"""HITRUST CSF version 9, September 2017""","""06.03 Information System Audit Considerations"""
334,"""King IV Report on Corporate Governance for South Africa, 2016""","""Part 5.4: Governance functional areas—Principle 15"""
335,"""CMMI Cybermaturity Platform, 2018""","""TP.LA Apply Logging and Audit Processes"""
336,"""ISF, The Standard of Good Practice for Information Security 2016""","""SI1 Security Audit"""
337,"""ISO/IEC 27001:2013/Cor.2:2015(E)""","""9.2 Internal audit"""
